player_id,player_name,player_nickname,jersey_number,country,cards,positions,match_id
2995,Ángel Fabián Di María Hernández,Ángel Di María,11,Argentina,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '00:00', 'to': '116:15', 'from_period': 1, 'to_period': 4, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '16:08', 'to': '66:26', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '66:26', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3943077
3090,Nicolás Hernán Otamendi,Nicolás Otamendi,19,Argentina,[],"[{'position_id': 12, 'position': 'Right Midfield', 'from': '116:15', 'to': '116:37', 'from_period': 4, 'to_period': 4, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 4, 'position': 'Center Back', 'from': '116:37', 'to': None, 'from_period': 4, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3943077
3313,Giovani Lo Celso,,16,Argentina,"[{'time': '11:26', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 4}]","[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '116:37', 'to': '96:47', 'from_period': 4, 'to_period': 3, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '96:47', 'to': '96:47', 'from_period': 3, 'to_period': 3, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '96:47', 'to': None, 'from_period': 3, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3943077
5503,Lionel Andrés Messi Cuccittini,Lionel Messi,10,Argentina,[],"[{'position_id': 22, 'position': 'Right Center Forward', 'from': '00:00', 'to': '37:29', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '38:01', 'to': '65:49', 'from_period': 1, 'to_period': 2, 'start_reason': 'Player On', 'end_reason': 'Substitution - Off (Injury)'}]",3943077
5507,Nicolás Alejandro Tagliafico,Nicolás Tagliafico,3,Argentina,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': '116:37', 'from_period': 1, 'to_period': 4, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 8, 'position': 'Left Wing Back', 'from': '116:37', 'to': '16:08', 'from_period': 4, 'to_period': 1, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 6, 'position': 'Left Back', 'from': '16:08', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3943077
6312,Franco Armani,,1,Argentina,[],[],3943077
6694,Gerónimo Rulli,Gero Rulli,12,Argentina,[],[],3943077
6909,Damián Emiliano Martínez,Emiliano Martínez,23,Argentina,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943077
7161,Germán Alejandro Pezzella,Germán Pezzella,6,Argentina,[],[],3943077
7797,Rodrigo Javier De Paul,Rodrigo De Paul,7,Argentina,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': '116:37', 'from_period': 1, 'to_period': 4, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '116:37', 'to': '16:08', 'from_period': 4, 'to_period': 1, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 12, 'position': 'Right Midfield', 'from': '16:08', 'to': '66:26', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Tactical Shift'}, {'position_id': 13, 'position': 'Right Center Midfield', 'from': '66:26', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3943077
11456,Lautaro Javier Martínez,Lautaro Martínez,22,Argentina,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '116:37', 'to': None, 'from_period': 4, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3943077
16308,Leandro Daniel Paredes,Leandro Paredes,5,Argentina,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '116:37', 'to': '96:17', 'from_period': 4, 'to_period': 3, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Tactical)'}, {'position_id': 15, 'position': 'Left Center Midfield', 'from': '96:17', 'to': '96:47', 'from_period': 3, 'to_period': 3, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 10, 'position': 'Center Defensive Midfield', 'from': '96:47', 'to': None, 'from_period': 3, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3943077
19597,Marcos Javier Acuña,Marcos Acuña,8,Argentina,[],[],3943077
20572,Cristian Gabriel Romero,Cristian Romero,13,Argentina,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943077
20687,Nicolás Iván González,Nicolás González,15,Argentina,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '116:37', 'to': '65:49', 'from_period': 4, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - On (Injury)'}, {'position_id': 22, 'position': 'Right Center Forward', 'from': '65:49', 'to': '66:26', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Tactical Shift'}, {'position_id': 16, 'position': 'Left Midfield', 'from': '66:26', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3943077
26404,Guido Rodríguez,,18,Argentina,[],[],3943077
27768,Lisandro Martínez,,25,Argentina,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3943077
