Player,Born,Age,Pos,Team,Matches Played,Starts,Minutes Played,Min%,Mn/MP,Clean Sheets,Clean Sheets %,No Clean Sheets,Goals Conceeded,Touches,Pass Attempted,Passes Completed,Passes Failed,Passing Accuracy %,Passing Failed %,90s,Saves,Saves %,Penalty attempted,Penalty Save,FK_x,Clr,Ball Recovered,Fouls Commited,Fouls Suffered,Tackles,Tackles Won,Tackles Lost,Yellow Cards,Red Cards,Pec
Altay Bayindir,1998,25,Goalkeeper,Turkey,1,1,90,20,90,0,0,100,3,36,35,29,6,82.9,17.099999999999994,1,1,0.0,0,0,2,0,3,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250107375.png
Anatolii Trubin,2001,22,Goalkeeper,Ukraine,2,2,180,66.7,90,1,50,50,1,76,70,55,15,78.6,21.400000000000006,2,8,88.9,0,0,3,1,1,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250113444.png
Andriy Lunin,1999,24,Goalkeeper,Ukraine,1,1,90,33.3,90,0,0,100,3,25,24,23,1,95.8,4.200000000000003,1,2,40.0,0,0,0,0,2,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250089824.png
Angus Gunn,1996,28,Goalkeeper,Scotland,3,3,270,100,90,0,0,100,7,128,117,72,45,61.5,38.5,3,12,68.4,1,0,16,4,10,0,0,0,0,0,0,0,https://b.fssta.com/uploads/application/soccer/headshots/28898.png
Bart Verbruggen,2002,21,Goalkeeper,Netherlands,6,6,540,100,90,2,33.3,66.7,7,225,209,177,32,84.7,15.299999999999997,6,17,73.9,1,0,6,4,10,0,0,1,1,0,0,0,https://i.imgur.com/RRV5IDs.png
David Raya,1995,28,Goalkeeper,Spain,1,1,90,13.6,90,1,100,0,0,43,42,36,6,85.7,14.299999999999997,1,4,100.0,0,0,2,0,1,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250171278.png
Diogo Costa,1999,24,Goalkeeper,Portugal,5,5,510,100,102,3,60,40,3,161,155,140,15,90.3,9.700000000000003,5.7,11,85.7,1,0,6,2,5,0,0,0,0,0,0,0,https://b.fssta.com/uploads/application/soccer/headshots/50873.png
Dominik Livaković,1995,29,Goalkeeper,Croatia,3,3,270,100,90,0,0,100,6,101,93,69,24,74.2,25.799999999999997,3,9,60.0,0,0,5,2,7,0,0,0,0,0,0,0,https://hns.family/files/images/_resized/0000047402_0_726.png
Florin Niță,1987,36,Goalkeeper,Romania,4,4,360,100,90,1,25,75,6,157,148,87,61,58.8,41.2,4,15,71.4,0,0,19,2,9,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250060872.png
Gianluigi Donnarumma,1999,24,Goalkeeper,Italy,4,4,360,100,90,0,0,100,5,117,102,87,15,85.3,14.700000000000003,4,12,70.6,1,1,5,2,4,0,1,0,0,0,1,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250078922.png
Giorgi Mamardashvili,2000,23,Goalkeeper,Georgia,4,4,360,100,90,1,25,75,8,143,124,66,58,53.2,46.8,4,30,78.9,0,0,19,2,2,0,1,0,0,0,0,0,https://www.futbolemotion.com/imagesuploads/jugadores/152/grandes/giorgi_mamardashvili_1117x940.png
Jan Oblak,1993,31,Goalkeeper,Slovenia,4,4,390,100,98,2,50,50,2,135,128,79,49,61.7,38.3,4.3,14,88.2,1,1,16,1,3,0,2,0,0,0,0,0,https://media.gettyimages.com/id/2157436387/photo/wuppertal-germany-jan-oblak-of-slovenia-poses-for-a-portrait-during-the-slovenia-portrait.jpg?s=612x612&w=gi&k=20&c=lRtK44_lPb14K_yVLPgLUP0PUsWmjZJESOflevgVrmc=
Jindřich Staněk,1996,27,Goalkeeper,Czech Republic,3,3,234,86.7,78,0,0,100,4,85,75,48,27,64,36,2.6,9,75.0,1,0,8,1,3,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250055112.png
Jordan Pickford,1994,29,Goalkeeper,England,7,7,690,100,99,2,28.6,71.4,6,317,307,229,78,74.6,25.400000000000006,7.7,17,73.9,0,0,15,1,5,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250024791.png
Kasper Schmeichel,1986,37,Goalkeeper,Denmark,4,4,360,100,90,1,25,75,4,120,112,90,22,80.4,19.599999999999994,4,12,81.3,1,0,6,0,6,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/74954.png
Koen Casteels,1992,31,Goalkeeper,Belgium,4,4,360,100,90,2,50,50,2,150,143,119,24,83.2,16.799999999999997,4,13,85.7,0,0,4,2,6,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250003911.png
Łukasz Skorupski,1991,32,Goalkeeper,Poland,1,1,90,33.3,90,0,0,100,1,40,29,24,5,82.8,17.200000000000003,1,7,100.0,1,0,2,4,1,0,0,0,0,0,0,0,https://media.futbolfantasy.com/thumb/150x150/v202408200059/uploads/images/jugadores/ficha-seleccion/4766.png
Manuel Neuer,1986,37,Goalkeeper,Germany,5,5,480,100,96,2,40,60,4,154,145,123,22,84.8,15.200000000000003,5.3,11,71.4,0,0,9,1,3,0,1,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/97923.png
Martin Dúbravka,1989,35,Goalkeeper,Slovakia,4,4,390,100,98,1,25,75,5,173,162,108,54,66.7,33.3,4.3,11,75.0,1,0,16,3,1,0,1,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/1904029.png
Matej Kovar,2000,23,Goalkeeper,Czech Republic,1,0,36,13.3,36,0,0,100,1,18,18,9,9,50,50,0.4,1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250117491.png
Mert Günok,1989,34,Goalkeeper,Turkey,4,4,360,80,90,0,0,100,5,142,129,83,46,64.3,35.7,4,15,73.7,0,0,17,1,3,0,0,0,0,0,1,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/103243.png
Mike Maignan,1995,28,Goalkeeper,France,6,6,570,100,95,4,66.7,33.3,3,184,167,136,31,81.4,18.599999999999994,6.3,15,88.9,1,0,9,5,15,0,2,1,0,1,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250042780.png
Patrick Pentz,1997,27,Goalkeeper,Austria,4,4,360,100,90,0,0,100,6,157,148,120,28,81.1,18.900000000000006,4,6,45.5,0,0,8,3,8,0,1,0,0,0,0,0,https://www.soccerzz.com/img/jogadores/11/482511_ori__20180518203020_patrick_pentz.png
Péter Gulácsi,1990,33,Goalkeeper,Hungary,3,3,270,100,90,1,33.3,66.7,5,107,97,74,23,76.3,23.700000000000003,3,9,64.3,0,0,11,3,1,0,0,0,0,0,0,0,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQfFq47HGuJZj2SFgXpBmqDhmzFOW08gptx2Krzhn7OittL-iGB
Predrag Rajković,1995,28,Goalkeeper,Serbia,3,3,270,100,90,1,33.3,66.7,2,109,103,68,35,66,34,3,8,80.0,0,0,7,0,3,0,1,0,0,0,0,0,https://pbs.twimg.com/media/GWvnRm9XYAAXr8l.jpg
Thomas Strakosha,1995,28,Goalkeeper,Albania,3,3,270,100,90,0,0,100,5,99,93,65,28,69.9,30.099999999999994,3,13,70.6,0,0,5,1,1,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250046901.png
Unai Simón,1997,26,Goalkeeper,Spain,6,6,570,86.4,95,2,33.3,66.7,4,258,245,191,54,78,22,6.3,13,76.5,1,1,10,3,9,0,0,0,0,0,1,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250076116.png
Wojciech Szczęsny,1990,33,Goalkeeper,Poland,2,2,180,66.7,90,0,0,100,5,74,66,42,24,63.6,36.4,2,8,69.2,1,0,4,2,4,1,0,0,0,0,1,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/108501.png
Yann Sommer,1988,35,Goalkeeper,Switzerland,5,5,480,100,96,1,20,80,4,172,167,138,29,82.6,17.400000000000006,5.3,8,66.7,0,0,6,2,6,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/97746.png
