Player,Born,Age,Team,Pos,Goals,Assists,Goals+Assists,Touches,90s,Ball Recovered,Blocks,Blocks Ball,Clr,Crosses,CrsPA,Def,Expected Assists,Expected Assists On Goals,Expected Goals,FK_y,FK_x,Fouls Commited,Fouls Suffered,GCA,G-xG,Goals/Shot On Target,Goals/Shots,Interceptions,Matches Played,Key Passes,Min%,Minutes Played,Mn/MP,npxG,Own Goal,Pass Attempted,PassDead,Passes Completed,Passes Failed,Passing Accuracy %,Passing Failed %,PassLive,PKatt,Penalty Goals,Progressive Passes Attempted,Red Cards,Shot off Target,Shot on Target%,Shot on Target,Shots,SoT/90,Starts,Tackles Lost,Tackles,Tackles Won,Yellow Cards,2 Yellow Cards,Player Image
Abdülkerim Bardakci,1994,29,Turkey,Defender,0,0,0,246,4,17,2,5,20,1,1,0,0.2,0.3,0.3,0,6,3,1,0,-0.3,0,0,2,4,2,80,360,90,0.3,0,211,0,182,29,86.3,13.700000000000003,7,0,0,3,0,2,0,0,2,0,4,2,4,2,2,0,https://i.imgur.com/EQPY8pV.png
Adam Buksa,1996,27,Poland,Forward,1,0,1,30,1.7,0,0,4,3,0,0,0,0,0.2,0.2,0,0,2,4,0,0.8,1,0.33,0,2,2,55.2,149,75,0.2,0,13,0,11,2,84.6,15.400000000000006,3,0,0,0,0,2,33.3,1,3,0.6,2,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250058189.png
Adam Gnezda Čerin,1999,24,Slovenia,Midfielder,0,0,0,204,4.3,16,0,7,10,10,0,0,0.1,0,0.3,0,8,10,4,0,-0.3,0,0,5,4,2,100,390,98,0.3,0,164,4,127,37,77.4,22.599999999999994,2,0,0,0,0,3,25,1,4,0.23,4,4,9,5,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250088708.png
Adam Hložek,2002,21,Czech Republic,Forward,0,0,0,32,1.2,3,0,0,1,0,0,0,0.1,0,0.5,0,0,2,1,0,-0.5,0,0,1,2,0,40,108,54,0.5,0,16,0,15,1,93.8,6.200000000000003,2,0,0,0,0,0,100,4,4,3.33,2,1,1,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250114001.png
Adám Lang,1993,31,Hungary,Defender,0,0,0,25,0.5,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16.7,45,45,0,0,19,0,13,6,68.4,31.599999999999994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250027818.png
Adám Nagy,1995,28,Hungary,Midfielder,0,0,0,91,1.8,7,2,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,0,58.9,159,53,0,0,74,0,59,15,79.7,20.299999999999997,1,0,0,0,0,1,0,0,1,0,2,1,3,2,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250083472.png
Adam Obert,2002,21,Slovakia,Defender,0,0,0,29,0.3,2,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,6.4,25,13,0,0,27,0,22,5,81.5,18.5,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250117647.jpg
Adrian Rus,1996,27,Romania,Defender,0,0,0,6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5.8,21,11,0,0,6,0,1,5,16.7,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250123431.png
Adrien Rabiot,1995,28,France,Midfielder,0,0,0,275,4.1,20,2,3,2,3,1,0,0.7,0.4,0.3,0,7,5,5,1,-0.3,0,0,1,5,9,65.1,371,74,0.3,0,236,0,216,20,91.5,8.5,13,0,0,2,0,3,0,0,3,0,5,4,9,5,2,0,https://i.imgur.com/Xdyrp5b.png
Aleksandar Mitrović,1994,29,Serbia,Forward,0,0,0,89,2.7,6,1,2,4,0,0,0,0,0,1.2,0,1,2,6,0,-1.2,0,0,0,3,0,88.9,240,80,1.2,0,53,0,38,15,71.7,28.299999999999997,1,0,0,1,0,8,20,2,10,0.75,3,0,0,0,1,0,https://img.uefa.com/imgml/TP/players/3/2024/cutoff/250042869.png
